,concept_from_alex_street,phrase_code
15254,either sex,5
17903,elect officers,5
17767,elect senators,5
20367,elect women,5
1200,elected,5
15151,elected delegate,2
17119,elected superintendent,5
6488,electing,5
19692,elective franchise,5
16943,elective offices,5
21803,electoral reform bill,5
26298,electric light bill,5
22277,electric washing machine,4
19177,elementary department,5
23446,elementary justice,5
20247,elevator boy,4
16294,elevator operators,4
23573,eligible jurors,5
19506,eligible list,5
18153,eliminate discrimination,5
25209,eliot mrs david,1
25398,elizabeth blackwell chair,2
24310,elmira board,4
15747,elocutionist,5
16143,elocutionists,5
22028,ely university,6
21259,elyuniversity,6
23510,emancipation address,5
14682,emancipation proclamation,5
26227,emergency girls club,1
15042,emergency measure,5
15885,emergency work,5
26078,eminent food chemists,4
