,concept_from_alex_street,alternative_phrase,phrase_code
434,candy men,,4
435,candy people,,4
436,candy report,,4
437,candy study,,5
438,candy wage board,,5
439,candy white list,,5
440,candy work,,4
441,candy workers,,4
442,candymakers,candy-makers,4
443,canneries,,4
444,canning codes,,4
445,canning establishments,,4
446,canning industry,,4
447,canning preserving,,4
448,cannot read,,4
449,canteen service,,4
450,capitalist countries,,4
451,capitalists,,4
452,captain haldeman,,1
453,captive race,,4
454,card bearing,,5
455,caretakers cottage,,5
456,carlton ymca,,2
457,carmela ponselle,,1
458,carnegie tech,,6
459,carpe diem club,,1
460,carpet sweeper,,4
461,carpetbaggers,,4
462,carry insurance,,5
463,case workers,,5
464,casey bill,,5
465,cash payment,,5
466,cash receipts,,5
467,cash registers,,5
468,cash value,,5
469,caste prejudice,,4
470,caste school,,4
471,catholic women,,3
472,catholic young women,,3
473,cellar bakeries,,4
474,centennial exposition,,2
475,central executive committee,,2
476,central regional association,,2
477,cents per day per capita,,5
478,cents per hour,,5
479,certain provisions,,5
480,certificating children,,5
481,ceylon women,,3
482,ceylonese,,4
483,ceylonese women,,3
484,chain store competition,,4
485,chain store organization,,4
486,chain store problem,,4
487,chain store unit,,4
488,chain unit,,5
489,chairman dewson,chair-man dewson,2
490,chairman eaton,chair-man eaton,4
491,chairman mr theodore b pierce,chair-man mr theodore b pierce,4
492,chamber floor,,2
493,chambermaids,chamber-maids,3
494,chambermaidwaitress,chambermaid-waitress,4
495,changing conditions,,4
496,character building,,5
497,charitable institution,,5
498,charitable institutions,,5
499,charity organization society,,5
500,chastity,,5
501,chattels,,4
502,cheap labor,,4
503,cheese factory,,4
504,chemical work,,5
505,cheshire cat,,4
506,chicago musical college,,6
507,chicken farm,,4
508,chief examiner,,5
509,chief labor inspector,,5
510,chief mediator,,4
511,child born abroad,,4
512,child care,,5
513,child department,,5
514,child hygiene,,4
515,child labor amendment,,5
516,child labor association,,5
517,child labor bill drafted,child labor bill,99
518,child labor committee,,5
519,child labor law,,5
520,child labor laws,,5
521,child labor legislation,,5
522,child laborers,,4
523,child marriage,,4
524,child study,,5
525,child wageearners,child wage-earners,3
526,child welfare,,4
527,child welfare division,,5
528,child welfare exhibit,,5
529,child welfare work,,5
530,childbirth,child-birth,4
531,childbirth convention,child-birth convention,5
532,childhood days,child-hood days,4
533,childless widows,,3
534,children born abroad,,4
535,children careless parents,,4
536,children employed,,4
537,children illegally employed,,4
538,children injured,,4
539,children wages,,4
540,children work,,4
541,children working,,4
542,childrens aid allowances,,5
543,childrens amendment,,5
544,childrens bureau,,5
545,childrens club,,5
546,childrens compensation,,5
547,childrens home,,5
548,childrens services,,5
549,childrens wearing apparel,,4
550,childs estate,,4
551,childs problem,,4
552,childs services,,4
553,childs welfare,,4
554,chilean delegation,,4
555,chilean law court,,2
556,chilean women,,3
557,chinese students,,3
558,chinese women,,3
559,chip school,,6
560,chip schools,,5
561,chocolate manufacture,,4
562,choir stalls,,5
563,choose freely,,5
564,christian agencies,,5
565,christian association work,,5
566,christian center,,5
567,christian education,,5
568,christian fellowship,,5
569,christian ideals,,5
570,christian institutions,,5
571,christian leader,,2
572,christian leadership,,5
573,christian principle,,5
574,christian principles,,5
575,christian recorder,,2
576,christian register,,2
577,christian science,,4
578,christian science monitor,,2
579,christian service,,5
580,christian women,,3
581,christian work,,5
582,christians,,3
583,christlike living,christ-like living,5
584,christmas shopping,,5
585,chrysanthemum club,,1
586,church membership,,5
587,church people,,2
588,church women,,3
589,cigar factories,,4
590,cigarmaking,cigar-making,4
591,cincinnati branch,,2
592,cincinnati league,,2
593,citizen wives organization,,1
594,citizens committee,,5
595,citizenship department,,5
596,citizenship laws,,5
597,citizenship rights,,5
598,citizenship upon marriage,,5
599,city association,,2
600,city associations,,2
601,city committee,,2
602,city conference,,2
603,city dweller,,3
604,city federation,,5
605,city federation president,,2
606,city health department,,5
607,city magistrate,,2
608,city registration,,5
609,city service commission,,5
610,city treasurer,,2
611,city wards,,2
612,civic betterment,,5
613,civic department,,5
614,civic movements,,5
615,civic organizations,,5
616,civic repertory theatre,,2
617,civic rights,,5
618,civic work,,5
619,civil actions,,5
620,civil cases,,5
621,civil code,,5
622,civil life,,5
623,civil relationships,,5
624,civil service commission,,5
625,civil service commissioner,,2
626,civil service commissionership,,5
627,civil service rights,,5
628,civil service status,,5
629,civil service women,,3
630,civil shackles,,4
631,civil status,,5
632,civil works administration,civil works ad-ministration--,5
633,civilized world,,5
634,claim american citizenship,,5
635,clara white mission,,1
636,clarice gooding,,1
637,class conflict,,4
638,class legislation,,5
639,class room teachers,,3
640,class room teachers supervised,,5
641,class women,,4
642,classed women,,3
643,classification act,,5
644,clean government,,5
645,clean politics,,5
646,clerical work,,4
647,clerks association,,5
648,cleveland journal,,2
649,clinic care,,5
650,clinic visits,,4
651,cloak department,,4
652,closing hours,,5
653,clothing factories,,4
654,clothing industries,,4
655,clothing industry,,4
656,club church,,5
657,club circles,,5
658,club colors,,2
659,club femenino de cuba,,1
660,club house fund,,2
661,club life,,5
662,club meetings,,2
663,club movement,,5
664,club room,,5
665,club spirit,,5
666,clubs societies associations,,1
667,coal field,,4
668,coalheaving,coal-heaving,4
669,coast tour,,5
670,coast tribes,,4
671,cochrane olive,,1
672,cocoa bean,,4
673,code adopted,,5
674,code provisions,,5
675,codes approved,,5
676,codify international law,codify inter-national law,5
677,coeducational,co-educational,5
678,coeducational college,co-educational college,5
679,cohesiveness,,5
680,collect damages,,5
681,collect facts,,5
682,collect information,,5
683,collective farm,,5
684,collective farms,,5
685,collective noun man,,4
686,collective rights,,5
687,college,,4
688,college alumnae club,,1
689,college attitude,,5
690,college chair,,4
691,college club reports,,2
692,college course,,5
693,college curricula,,4
694,college degrees,,5
695,college education,,5
696,college extension,,5
697,college fraternities,,4
698,college fraternity,,4
699,college girls,,3
700,college league,,5
701,college leagues,,5
702,college professors,,3
703,college settlements association,,5
704,colonel thompson,,4
705,colonial assembly,,4
706,colonial service,,4
707,colonists,,4
708,colonization society,,5
709,color attendance,,4
710,color blind,,5
711,color question,,4
712,color table,,4
713,colorado branch,,2
714,colorado pageant,,5
715,colorado springs convention,,2
716,colored associations,,5
717,colored boy,,3
718,colored boys,,3
719,colored branch,,5
720,colored branches,,5
721,colored children,,3
722,colored church,,5
723,colored churches,,5
724,colored citizens,,3
725,colored city work,,4
726,colored club women,,2
727,colored colleges,,5
728,colored conference,,5
729,colored death rates,,4
730,colored delegates,,2
731,colored department,,5
732,colored girl,,3
733,colored girls,,3
734,colored graduate,,3
735,colored graduates,,5
736,colored high school,,4
737,colored institutions,,4
738,colored inventor,,4
739,colored labor,,3
740,colored leadership,,5
741,colored man,,3
742,colored member,,4
743,colored men,,3
744,colored men upon white women,,5
745,colored mens department,,4
746,colored minister,,2
747,colored ministers,,3
748,colored nurses,,3
749,colored parents,,3
750,colored passengers,,3
751,colored person,,3
752,colored population,,3
753,colored preacher,,5
754,colored race,,4
755,colored representatives,,2
756,colored school,,5
757,colored schools,,5
758,colored secretaries,,4
759,colored soldiers,,3
760,colored student conference,,5
761,colored student work,,5
762,colored students,,3
763,colored subcommittee,colored sub-committee,2
764,colored suffragists,,5
765,colored superintendent,colored super-intendent,5
766,colored teachers,,3
767,colored woman,,3
768,colored womans suffrage club,,1
769,colored women,,3
770,colored women convened,,1
771,colored women inc,,5
772,colored women member,,3
773,colored women students,,3
774,colored women voters,,3
775,colored women working,,5
776,colored womens council,,2
777,colored womens national league,,1
778,colored work,,4
779,colored work budget,,5
780,colored work committee,,5
781,colored work staff,,4
782,colored workers,,3
783,colored ymca,,5
784,colored young men,,3
785,colored young women,,3
786,colored youth,,3
787,columbia branch,,2
788,columbia case,,4
789,columbia federation,,2
790,columbia law school,,6
791,columbia minimum wage bill,,5
792,columbia teachers,,3
793,comfort kits,,5
794,coming election,,5
795,commencement exercises,,5
796,commensurate,,5
797,commerce building,,4
798,commerce department,,4
799,commercial elevator,,4
800,commercial high school,,5
801,commercial stimulus,,5
802,commercialized vice,,4
803,commissarys office,,2
804,commission created,,5
805,commissioner harris,,4
806,commissioner smith,,2
807,commit prostitution,,4
808,committee room,,5
809,common gender,,5
810,common law disabilities,,5
811,common law rule,,5
812,common life,,5
813,common program,,5
814,common property,,5
815,common prostitutes,,4
816,common purpose,,5
817,common standard,,5
818,common welfare,,5
819,commonlaw wife,common-law wife,5
820,communal elections,,5
821,communist party,,1
822,community,,5
823,community betterment clubs,,1
824,community chest,,5
825,community chests,,5
826,community demand,,5
827,community fair,,5
828,community income,,5
829,community personal property,,5
830,community property,,5
831,community property law,,5
832,community property system,,5
833,community property vested,,5
834,community property vests,,5
835,community real estate,,5
836,community service,,5
837,community system,,5
838,communs outbuildings,,4
839,companionate marriage,,5
840,companys store,,4
841,comparative retirement,,5
842,compensation department,,5
843,compensation law,,5
844,compensation laws,,5
845,competitive class,,5
846,competitive examination,,5
847,competitive society,,4
848,complete amendment,,5
849,complete disarmament,,5
850,complete emancipation,,5
851,complete equality,,5
852,complete freedom,,5
853,compulsory education,,5
854,compulsory education law,,5
855,compulsory education laws,,5
856,compulsory examination,,5
857,compulsory jury service,,5
858,comradeship,,5
859,concealed weapons,,4
860,concord baptist church,,6
861,concurrent resolution,,5
862,condemnation proceedings,,5
863,conductorless symphony orchestra,,5
864,confectionery store,,4
865,confederacy,,4
866,conference program,,2
867,conference report,,2
868,congress campaign,,5
869,congressional chairman,congressional chair-man,2
870,congressional program,,5
871,congressman anthony,,4
872,connecticut branch,,2
873,connecticut league,,2
874,connecticut state branch,,2
875,consent,,5
876,consequent neglect,,4
877,conservation program,,5
878,conservatism,,4
879,conservative party,,1
880,consolidated bank,,4
881,constant incentive,,5
882,constituent leagues,,2
883,constitution,,5
884,constitutional amendment granting,,5
885,constitutional guarantees,,5
886,constitutional right,,5
887,consultative committee,,5
888,consumees league,consumers league,99
889,consumer representation,,5
890,consumers league bulletin,,2
891,consumers league label,,5
892,consumers league work,,4
893,consumers leagues,,1
894,consumers leagues members,,2
895,consumers power,,5
896,consumers research,,5
897,consuming public,,5
898,consummate skill,,5
899,contagious disease,,4
900,contagious diseases,,4
901,contagious diseases acts,,5
902,contemporary conditions,,5
903,continuation committee,,5
904,continuation school,,5
905,continuation schools,,5
906,contracting parties,,2
907,contribute money,,5
908,contributions checks,,4
909,convention banning night work,,4
910,convention finance committee,,2
911,convict labor,,4
912,convict lease system,,4
913,cookmaid,,3
914,cooper union,,2
915,cooperative commonwealth,co-operative commonwealth,5
916,cooperative effort,co-operative effort,5
917,cooperative home,co-operative home,5
918,coöperative movement,,5
919,copelanddickstein bill,copeland-dick-stein bill,5
920,corner bakeshop,,4
921,corner grocer,,4
922,correct evils,,5
923,correspondence committee,,2
924,corresponding secretary,cor-responding secretary,2
925,cosmopolitan society,,5
926,cotton exhibit,,5
927,cotton fields,,4
928,cotton industry,,4
929,cotton linters,,4
930,cotton mills,,4
931,cotton textile institute,,4
932,cottontextile institute,cotton-textile institute,4
933,couldnt breath,,4
934,couldnt read,,5
935,counteroffensive,,5
936,country church,,6
937,country committee,,2
938,country communities,,4
939,country women,,3
940,countrys history,,5
941,county charter,,5
942,county conventions,,5
943,county recorder,,2
944,county superintendent,county super-intendent,2
945,county superintendents,,2
946,county training school,,5
947,courageous women,,5
948,court action,,5
949,court room,,5
950,courtmartialed,court-mar-tialed,4
951,courts executive,,4
952,cowlicks,,4
953,crafts exhibit,,5
954,crazy jane,,5
955,create monopolies,,4
956,created equal,,5
957,created free,,5
958,creative life,,5
959,credentials committee,,5
960,credit department,,2
961,credit merchants,,4
962,credit purchase,,5
963,credit purchases,,5
964,credit system,,5
965,creole music,,5
966,criminal courts,,5
967,criminal division,,5
968,criminal element among negroes,,4
969,crowded city streets,,4
970,cuban patriot,,3
971,cuban voters,,3
972,cuban woman,,3
973,cuban women,,3
974,cultural atmosphere,,5
975,cultural level,,5
976,culture club,,5
977,cultured persons,,5
978,current knowledge,,5
979,custody services,,5
980,customs commissioners,,5
981,customs district,,5
982,cut prices,,5
983,cyclical depression,,4
984,czechosiovakia women,czecho-siovakia women,3
985,czechoslovak immigrants,czecho-slovak immigrants,3
986,daily bread,,5
987,daily capital,,5
988,daily hours,,5
989,daily oklahoman,,2
990,daily paper,,2
991,daily papers,,2
992,daily rounds,,4
993,daily vacation bible school,,5
994,dairy departments,,4
995,dangerous occupations,,4
996,dangerous policy,,4
997,dangerous substance,,4
998,darker hue,,4
999,darker races,,4
1000,davis home,,5
1001,day nurseries,,5
1002,day nursery,,5
1003,day without injury,,5
1004,day worker,,3
1005,day workers,,4
1006,daytona normal,,5
1007,dean gillett,,4
1008,dean slowe,,4
1009,death mask,,4
1010,death penalty,,4
1011,death rates,,4
1012,decent conditions,,5
1013,decent living,,5
1014,decent standards,,5
1015,declared unconstitutional,,5
1016,decollete,,4
1017,defense,,4
1018,delaware branch,,2
1019,delaware delegation,,2
1020,delaware quota consumers league,,1
1021,delaware state branch,,2
1022,delaware state federation,,1
1023,delegated,,2
1024,delegates representing schools,,2
1025,deliberate policy,,5
1026,delicate little children,,4
1027,delicate satire,,5
1028,delinquent boys,,4
1029,delinquent colored girls,,3
1030,delinquent girls,,4
1031,delinquent home,,5
1032,delinquent negro girls,,4
1033,delivery boys,,4
1034,demand equality,,5
1035,democracy,,5
1036,democratic country,,5
1037,democratic leaders,,4
1038,democratic ticket,,5
1039,democratic women,,3
1040,denied naturalization,,4
1041,dental council,,5
1042,dental womans club,,1
1043,dependent children,,3
1044,dependent girls,,4
1045,dependent people,,4
1046,deplore lynching,,5
1047,deportation order,,5
1048,deprecate domestic service,,4
1049,deputy chief librarian,,4
1050,desert sands,,4
1051,desmond bill,,5
1052,desperately ill,,4
1053,desperately prowoman,desperately pro-woman,5
1054,destitute,,4
1055,destructive legislation,,4
1056,detailed study,,5
1057,detention,,4
1058,detention home,,4
1059,detroit association,,2
1060,detroit branch,,2
1061,detroit conference,,2
1062,detroit federation,,2
1063,detroit housewives league,detroit house-wives league,1
1064,detroit study club,,1
1065,devoted wife,,3
1066,devout christian,,3
1067,different nationalities,,5
1068,director schofield,,4
1069,dirt floor,,4
1070,dirty bakeries,,4
1071,dirty milk,,4
1072,disabilities,,4
1073,disability,,4
1074,disabling accidents,,4
1075,discharge married women,,4
1076,discharging married women,,4
1077,disciplined,,5
1078,discourage night work,,5
1079,discrimination,,4
1080,discriminatory clauses,,4
1081,discriminatory legislation,,5
1082,disease,,4
1083,disfranchises,,5
1084,dishwasher,dish-washer,5
1085,dismiss married women,dis-miss married women,4
1086,dismissal wage,,5
1087,dismissing married women,,4
1088,dismissing women,,4
1089,dismissing women teachers,,4
1090,dispersed love,,5
1091,displacing men,,4
1092,dissenting opinion,,5
1093,distributive justice,,5
1094,district branch,,2
1095,district police,,4
1096,district supreme court,,2
1097,divine plan,,5
1098,divorce laws,,5
1099,dolls clothing,,4
1100,domestic,,4
1101,domestic employees,,4
1102,domestic labor,,4
1103,domestic nature,,4
1104,domestic positions,,4
1105,domestic relations,,4
1106,domestic relations law,,5
1107,domestic science,,5
1108,domestic servants,,3
1109,domestic service,,4
1110,domestic service workers,,3
1111,domestic work,,4
1112,domestic worker,,3
1113,domestic workers,,4
1114,domesticity,,4
1115,domestics,,4
1116,domicile bill,,5
1117,dominant party,,4
1118,dominant race,,4
1119,dominant sex,,4
1120,dominican commissioner,,2
1121,dominican women,,3
1122,dominion parliaments,,4
1123,door opens,,5
1124,doris stevens chairman,doris stevens chair-man,2
1125,double compensation,,5
1126,double earners,,4
1127,double moral standard,,5
1128,double nationality,,5
1129,double standard,,4
1130,doubleearners,double-earners,4
1131,douglass high school,,6
1132,douglass home,,5
1133,douglass memorial,,5
1134,dowager rani,,1
1135,dower right,,5
1136,dower rights,,5
1137,dr alice hamilton,,1
1138,dr anne hendry morrison,,1
1139,dr elizabeth faulkner baker,,1
1140,dr john r mott,,1
1141,dr louise heilbron,,1
1142,dr orestes ferrara,,1
1143,dr parrado,,1
1144,dr r r moton,,1
1145,drawing maximum salaries,,5
1146,dress well,dress w-ell,5
1147,dressmaker,,3
1148,dressmaking,dress-making,4
1149,drink every drop,,4
1150,drinking,,4
1151,drinking wine,,4
1152,drug adulteration,,4
1153,drug chains,,4
1154,drug inspection,,5
1155,drug products,,4
1156,drug stores,,4
1157,drugs act,,5
1158,dry goods boxes,,4
1159,dublin congress,,2
1160,duluth branch,,2
1161,dutch woman,,3
1162,dyer antilynching bill,dyer anti-lynching bill,5
1163,dyer bill,,5
1164,e zion church,,6
1165,early childhood,early child-hood,4
1166,early training,,5
1167,earn full wages,,5
1168,earned less,,5
1169,earnest cooperation,earnest co-operation,5
1170,earning capacity,,5
1171,earning less,,5
1172,earning power,,5
1173,earthly life,,5
1174,east central field committee,,2
1175,eastern conference committee,,2
1176,eastern regional conference,,2
1177,eastern shore federation,,2
1178,eben griggs,,1
1179,economic,,4
1180,economic act,,5
1181,economic action,,5
1182,economic advisory committee,,2
1183,economic barriers raised,,4
1184,economic burden,,5
1185,economic conduct,,5
1186,economic conference,,5
1187,economic dependence,,4
1188,economic emancipation,,5
1189,economic endeavor,,5
1190,economic equality,,5
1191,economic field,,4
1192,economic freedom,,5
1193,economic groups,,5
1194,economic independence,,5
1195,economic life,,4
1196,economic necessities,,4
1197,economic order,,5
1198,economic position,,5
1199,economic pressure,,5
1200,economic progress,,5
1201,economic question,,4
1202,economic responsibility,,5
1203,economic rights,,5
1204,economic security,,5
1205,economic sense,,5
1206,economic slaves,,4
1207,economic struggle,,5
1208,economic subjugation,,4
1209,economic value,,5
1210,economic world,,5
1211,economically independent,,5
1212,economy act,,5
1213,economy act repealed,,5
1214,economy bill,,5
1215,edith houghton hooker,edith hough-ton hooker,1
1216,educate,,5
1217,educate children,,5
1218,educate consumers,,5
1219,educate editors,,5
1220,educate public opinion,,5
1221,educate women,,3
