concept_id,concept_from_alex_street,alternative_phrase,phrase_code
245510621,bath house,,5
152114283,bath palaces,,4
3106665333,bathing suits,,4
175289286,battle,,4
329775516,bear arms,,5
3979954478,bear witness,,5
2913119451,become economically independent,,5
185200063,becomes naturalized,,5
1325210684,becoming literature conscious,,5
1602670016,beet fields,,4
3329897627,beginning salary,,5
775376084,beginning wage,,5
1478853130,belgian women,,3
1593457162,belgrade university,,6
1312639597,berne convention,,2
2950370815,best editorial essay,,5
2743149498,bethel church,,6
1563790757,bethunecookman college,bethune-cookman college,6
1659085273,better citizen,,5
2873453633,better conditions,,5
4286803840,better education,,5
1796826909,better feminists,,5
2762912136,better homes,,5
1412462657,better qualified,,5
4236296619,betty gram,,1
3797862825,bible class,,4
3893627567,bible conferences,,5
3170984498,bible institutes,,5
3607904434,bible study,,5
231611692,biblical,,4
2336284206,big niggers,,4
2554925809,bill regulating,,5
2845649781,bills introduced,,5
2844669099,bing law,,5
2390413703,biological relation,,4
412030610,bipartisan civil service commission,bi-partisan civil service commission,5
3982060761,birth control,,5
2122157051,birth registration area,,5
1373784300,biscuit watch,,4
509777685,bishop b f lee,,1
3442222917,bitter,,4
192707403,black belts,,4
87817427,black boy,,4
4076768164,black mammy,,4
1615239180,black regiment,,3
3584351896,black virgin,,4
1017939279,blanche tyler,,1
536133876,blind people,,3
426347451,blood forming organs,,4
1431510307,bloodless revolution,,5
3163267332,bloody war,,4
4021973334,board fixing wages,,5
1614972460,board meetings,,2
781267376,boarding home,,5
3271964428,body,,4
734803551,body politic,,5
34220290,bohemian history,,5
50529331,book peddler,,4
2647106332,bookbinders,,3
4279130666,bookshelves,book-shelves,5
2927761461,born abroad,,4
1215856841,born free,,5
3114584604,borrow money,,5
2737252125,boston conference,,2
1708859406,boston papers,,2
1668430323,box car,,4
1891307311,box car school,,5
581776055,boy problem,,4
2826241439,boyle bill,,5
1188003301,boys new dormitory,,4
2677461032,boys organization,,5
3652974671,brain power,,5
3152304811,brainworking occupations,brain-working occupations,4
3148192893,brainworking professions,brain-working professions,4
3198758068,branch association,,2
1189870838,branch leagues,,2
695095824,brave men,,3
2134110874,brazilian citizens,,3
3148799173,brazilian minister,,2
2394994878,bread line,,4
2606552084,bread lines,,5
1290503837,breadwinner,bread-winner,3
1571524056,breadwinners,bread-winners,3
1403729472,breasts,,4
859488788,breeding places,,4
4050663477,british advisory group,,5
1772097303,british chambers,,2
189543235,british civil service,,2
248940303,british custom,,4
3544232763,british delegation,,2
2543854777,british elections,,2
1893416217,british empire exhibition,,2
2082234091,british ministry,,2
1589689922,british nation,,4
104196977,british proposal,,5
1415847056,british quota,,5
2762574982,british section,,2
2691904913,british woman,,3
241681694,broad powers,,5
216821618,brooklyn chamber,,2
2034080067,brooklyn rapid transit womens league,,1
3817978584,brother olmstead,,1
1261574057,brought suit,,5
2741857913,bryn mawr college,,6
415981500,bryn mawr summer school,,5
2927081836,bucket brigade,,4
201021688,building owners,,4
3584630019,bulky foods,,4
1462395605,bureaucratic control,,2
753813382,burning injustice,,4
3782612455,burnt sugar,,4
296410226,business course,,5
3716849606,business depression,,4
4154718669,business meeting,,2
2009992260,business meetings,,2
4198477179,business woman,,3
4021670821,business women,,3
1763380723,business womens council,,5
3444453205,business womens legislative council,,1
2288825352,buttered bread,,4
3275944576,button sale,,2
1973526899,buy candy,,5
3180551677,buy cheap candy,,4
2248950960,buy food,,5
749259182,buy homes,,5
3640533184,buying food,,5
2253959108,buying power,,5
3019422630,cable act,,5
282492908,cable bill,,5
2281042584,cable law,,5
163665647,cable rooms,,5
927961428,calculating machines,,4
471208846,calendar club,,5
1241286723,california branch,,2
2406352311,california business,,4
120736155,california eighthour law,california eight-hour law,5
3740680751,california federation,,2
3219284686,california state federation,,2
2459974371,california women,,3
3505837100,california women workers,,3
1214627738,campaign,,5
4282716062,campaigns,,5
991753082,canadian representative,,2
328767770,cancelled checks,,4
2960205296,candy business,,4
3680718127,candy factories,,4
1484169854,candy factory,,4
3896790146,candy industry,,4
433447276,candy investigation,,5
3818193548,candy manufacture,,4
3812738645,candy manufacturer,,4
2103211238,candy manufacturers,,4
381944331,candy men,,4
2963384600,candy people,,4
4149136770,candy report,,4
1656494687,candy study,,5
5511788,candy wage board,,5
991880087,candy white list,,5
1725549441,candy work,,4
2776470201,candy workers,,4
1940972055,candymakers,candy-makers,4
1521994066,canneries,,4
3041162756,canning codes,,4
3241665855,canning establishments,,4
846701466,canning industry,,4
3034057721,canning preserving,,4
75210628,cannot read,,4
2466650226,canteen service,,4
779308484,capitalist countries,,4
2416037788,capitalists,,4
2165981741,captain haldeman,,1
1056996234,captive race,,4
546767893,card bearing,,5
1703932471,caretakers cottage,,5
3012996527,carlton ymca,,2
3483711215,carmela ponselle,,1
2882347491,carnegie tech,,6
718806567,carpe diem club,,1
3791338619,carpet sweeper,,4
305982443,carpetbaggers,,4
2761203876,carry insurance,,5
833694733,case workers,,5
3423197320,casey bill,,5
1878986973,cash payment,,5
3887795643,cash receipts,,5
664542535,cash registers,,5
1253427855,cash value,,5
2982606490,caste prejudice,,4
1811578436,caste school,,4
4054997108,catholic women,,3
655046383,catholic young women,,3
4006040658,cellar bakeries,,4
2831445370,centennial exposition,,2
2637862660,central executive committee,,2
1040631531,central regional association,,2
587059306,cents per day per capita,,5
2240219965,cents per hour,,5
3466317870,certain provisions,,5
2837341471,certificating children,,5
3652463058,ceylon women,,3
3106607335,ceylonese,,4
1200294508,ceylonese women,,3
2145011193,chain store competition,,4
2806999535,chain store organization,,4
2567991056,chain store problem,,4
3861474631,chain store unit,,4
734045587,chain unit,,5
3479334388,chairman dewson,chair-man dewson,2
3684080437,chairman eaton,chair-man eaton,4
2438315376,chairman mr theodore b pierce,chair-man mr theodore b pierce,4
2250431766,chamber floor,,2
1932933336,chambermaids,chamber-maids,3
2110308482,chambermaidwaitress,chambermaid-waitress,4
2294774838,changing conditions,,4
3351177312,character building,,5
1319380762,charitable institution,,5
3951672324,charitable institutions,,5
2859576558,charity organization society,,5
1001019027,chastity,,5
1128938970,chattels,,4
3048731715,cheap labor,,4
1546249624,cheese factory,,4
1014669802,chemical work,,5
94260861,cheshire cat,,4
731531090,chicago musical college,,6
3320344951,chicken farm,,4
1489341941,chief examiner,,5
3885920069,chief labor inspector,,5
406844992,chief mediator,,4
3128318981,child born abroad,,4
322125282,child care,,5
2842814942,child department,,5
4208004222,child hygiene,,4
2884042920,child labor amendment,,5
3879876430,child labor association,,5
3415684620,child labor bill drafted,child labor bill,99
4061934787,child labor committee,,5
2910929005,child labor law,,5
988778641,child labor laws,,5
3002052647,child labor legislation,,5
4252741989,child laborers,,4
2607612061,child marriage,,4
1848391023,child study,,5
2183612641,child wageearners,child wage-earners,3
3372506163,child welfare,,4
314740409,child welfare division,,5
1485295353,child welfare exhibit,,5
2063471287,child welfare work,,5
961622004,childbirth,child-birth,4
3397932389,childbirth convention,child-birth convention,5
712133493,childhood days,child-hood days,4
2770484668,childless widows,,3
682612273,children born abroad,,4
2703025880,children careless parents,,4
3711309568,children employed,,4
814121441,children illegally employed,,4
2017484478,children injured,,4
576548312,children wages,,4
996599402,children work,,4
3694133066,children working,,4
3785682490,childrens aid allowances,,5
2500468439,childrens amendment,,5
183484868,childrens bureau,,5
1029245167,childrens club,,5
1878978503,childrens compensation,,5
3961267722,childrens home,,5
3695797121,childrens services,,5
3597451551,childrens wearing apparel,,4
2972581391,childs estate,,4
3377657933,childs problem,,4
1739387637,childs services,,4
1633798792,childs welfare,,4
3798266743,chilean delegation,,4
1052799535,chilean law court,,2
1201521356,chilean women,,3
3287766229,chinese students,,3
2592368324,chinese women,,3
2925683309,chip school,,6
977395892,chip schools,,5
1747994295,chocolate manufacture,,4
3931634428,choir stalls,,5
919519743,choose freely,,5
1699280287,christian agencies,,5
3554895941,christian association work,,5
933082392,christian center,,5
2151322625,christian education,,5
3650665854,christian fellowship,,5
1900531753,christian ideals,,5
753593034,christian institutions,,5
1321929813,christian leader,,2
4179372691,christian leadership,,5
2018852182,christian principle,,5
712979392,christian principles,,5
4245742690,christian recorder,,2
3283488572,christian register,,2
52689298,christian science,,4
1728831114,christian science monitor,,2
1930175629,christian service,,5
2383890050,christian women,,3
706116807,christian work,,5
2122105708,christians,,3
708724375,christlike living,christ-like living,5
2005675817,christmas shopping,,5
3942694665,chrysanthemum club,,1
3679696151,church membership,,5
3049699589,church people,,2
4129481418,church women,,3
2143192145,cigar factories,,4
1520217319,cigarmaking,cigar-making,4
823497454,cincinnati branch,,2
2570574568,cincinnati league,,2
2724344946,citizen wives organization,,1
2922325031,citizens committee,,5
3152236820,citizenship department,,5
2319699709,citizenship laws,,5
829185089,citizenship rights,,5
830495609,citizenship upon marriage,,5
4238776046,city association,,2
2449218863,city associations,,2
1036840609,city committee,,2
2391151760,city conference,,2
187217027,city dweller,,3
2284650120,city federation,,5
4159573025,city federation president,,2
2237553403,city health department,,5
2272280370,city magistrate,,2
3738877560,city registration,,5
2624886678,city service commission,,5
1699920085,city treasurer,,2
1481793441,city wards,,2
2990304301,civic betterment,,5
1288993691,civic department,,5
1989870137,civic movements,,5
433300684,civic organizations,,5
1635535423,civic repertory theatre,,2
3675337974,civic rights,,5
1786288471,civic work,,5
1225701160,civil actions,,5
960677626,civil cases,,5
2583457967,civil code,,5
908593474,civil life,,5
975643095,civil relationships,,5
850431918,civil service commission,,5
3868995534,civil service commissioner,,2
2298401222,civil service commissionership,,5
2632925869,civil service rights,,5
257038407,civil service status,,5
3438082266,civil service women,,3
1708095021,civil shackles,,4
4031323173,civil status,,5
1189637659,civil works administration,civil works ad-ministration--,5
3555851179,civilized world,,5
2747196998,claim american citizenship,,5
1008572427,clara white mission,,1
1296299334,clarice gooding,,1
3827093494,class conflict,,4
3520752966,class legislation,,5
1759361205,class room teachers,,3
1701184652,class room teachers supervised,,5
4160555673,class women,,4
2306246322,classed women,,3
1429262703,classification act,,5
1343827503,clean government,,5
1113507223,clean politics,,5
1038858763,clerical work,,4
2564381915,clerks association,,5
2786452264,cleveland journal,,2
3612816246,clinic care,,5
2064600127,clinic visits,,4
2451742191,cloak department,,4
4189709534,closing hours,,5
1923627319,clothing factories,,4
1819858233,clothing industries,,4
4256097607,clothing industry,,4
2758857281,club church,,5
4202113780,club circles,,5
2959021381,club colors,,2
711338788,club femenino de cuba,,1
4251964217,club house fund,,2
361267216,club life,,5
2609949380,club meetings,,2
1841621943,club movement,,5
1773744976,club room,,5
4235033725,club spirit,,5
4167863745,clubs societies associations,,1
1195572369,coal field,,4
930120500,coalheaving,coal-heaving,4
781796410,coast tour,,5
714683252,coast tribes,,4
3253807361,cochrane olive,,1
2753257095,cocoa bean,,4
3897188192,code adopted,,5
2670841945,code provisions,,5
1049572378,codes approved,,5
2360407781,codify international law,codify inter-national law,5
1739438985,coeducational,co-educational,5
914907598,coeducational college,co-educational college,5
2986742039,cohesiveness,,5
2256444503,collect damages,,5
1495413278,collect facts,,5
4094831832,collect information,,5
841956563,collective farm,,5
1219821260,collective farms,,5
3239461409,collective noun man,,4
1442759642,collective rights,,5
2613844874,college,,4
2882919255,college alumnae club,,1
2697629758,college attitude,,5
717496511,college chair,,4
876076838,college club reports,,2
2503779538,college course,,5
3900361718,college curricula,,4
2492680504,college degrees,,5
540912278,college education,,5
214222418,college extension,,5
4102315910,college fraternities,,4
3698739061,college fraternity,,4
3465011860,college girls,,3
4005542904,college league,,5
2684424109,college leagues,,5
1541283737,college professors,,3
737772372,college settlements association,,5
1987507595,colonel thompson,,4
1401513815,colonial assembly,,4
1462875323,colonial service,,4
3285209915,colonists,,4
2214162356,colonization society,,5
2069155486,color attendance,,4
4222421582,color blind,,5
85442496,color question,,4
2352098268,color table,,4
723247960,colorado branch,,2
1983338066,colorado pageant,,5
2666898094,colorado springs convention,,2
144479821,colored associations,,5
1606052098,colored boy,,3
300785523,colored boys,,3
4197356013,colored branch,,5
1177105610,colored branches,,5
2743544109,colored children,,3
4198066698,colored church,,5
3307558788,colored churches,,5
1018902309,colored citizens,,3
3191341555,colored city work,,4
2056540418,colored club women,,2
1978578402,colored colleges,,5
2789938506,colored conference,,5
3373541492,colored death rates,,4
958809848,colored delegates,,2
1470055545,colored department,,5
3474640970,colored girl,,3
1268604805,colored girls,,3
4240349667,colored graduate,,3
3558140538,colored graduates,,5
2505206393,colored high school,,4
3481897848,colored institutions,,4
3626978447,colored inventor,,4
689558742,colored labor,,3
4005509949,colored leadership,,5
912042831,colored man,,3
1343887528,colored member,,4
3974580674,colored men,,3
2016505428,colored men upon white women,,5
248050755,colored mens department,,4
3384038888,colored minister,,2
1647709597,colored ministers,,3
3581854193,colored nurses,,3
3798323622,colored parents,,3
3112058908,colored passengers,,3
2211321142,colored person,,3
2417297418,colored population,,3
1241271418,colored preacher,,5
2104303759,colored race,,4
1942946227,colored representatives,,2
1199369712,colored school,,5
4204355350,colored schools,,5
3820530757,colored secretaries,,4
2036049547,colored soldiers,,3
4042703386,colored student conference,,5
921131827,colored student work,,5
1261760408,colored students,,3
271586325,colored subcommittee,colored sub-committee,2
2942252920,colored suffragists,,5
4293292122,colored superintendent,colored super-intendent,5
2127994146,colored teachers,,3
4048335009,colored woman,,3
464639593,colored womans suffrage club,,1
2460900032,colored women,,3
239745524,colored women convened,,1
2807372426,colored women inc,,5
3780258244,colored women member,,3
3544597875,colored women students,,3
1339739559,colored women voters,,3
44137286,colored women working,,5
1167507819,colored womens council,,2
3213119112,colored womens national league,,1
3327318946,colored work,,4
3448077161,colored work budget,,5
2985961127,colored work committee,,5
1115239441,colored work staff,,4
2080665589,colored workers,,3
328092014,colored ymca,,5
3407055014,colored young men,,3
1751446353,colored young women,,3
3793221652,colored youth,,3
4140375269,columbia branch,,2
3795952403,columbia case,,4
30179368,columbia federation,,2
4048070750,columbia law school,,6
684067412,columbia minimum wage bill,,5
2069837440,columbia teachers,,3
2189278789,comfort kits,,5
2637499227,coming election,,5
237201555,commencement exercises,,5
4290209705,commensurate,,5
736881453,commerce building,,4
1956455034,commerce department,,4
3917577689,commercial elevator,,4
4172185256,commercial high school,,5
2406616020,commercial stimulus,,5
366767283,commercialized vice,,4
3820043196,commissarys office,,2
1621006449,commission created,,5
2288337565,commissioner harris,,4
1641812584,commissioner smith,,2
1527113788,commit prostitution,,4
1247182508,committee room,,5
1193792940,common gender,,5
2751406558,common law disabilities,,5
3328430954,common law rule,,5
13564945,common life,,5
982119061,common program,,5
1600882087,common property,,5
2123819277,common prostitutes,,4
2936262375,common purpose,,5
1560155984,common standard,,5
3068195024,common welfare,,5
2758809300,commonlaw wife,common-law wife,5
780616985,communal elections,,5
3520760017,communist party,,1
947076677,community,,5
1431242455,community betterment clubs,,1
534643060,community chest,,5
2123119080,community chests,,5
1106500423,community demand,,5
3036301816,community fair,,5
2434884806,community income,,5
451789994,community personal property,,5
2671295595,community property,,5
3272890158,community property law,,5
1634223548,community property system,,5
1768394148,community property vested,,5
2457669547,community property vests,,5
925527088,community real estate,,5
3097461933,community service,,5
3000508242,community system,,5
3558657010,communs outbuildings,,4
1229223758,companionate marriage,,5
1239673083,companys store,,4
2211613900,comparative retirement,,5
1314874688,compensation department,,5
1395307438,compensation law,,5
3117702017,compensation laws,,5
4041294684,competitive class,,5
2602881526,competitive examination,,5
3411972272,competitive society,,4
2267801877,complete amendment,,5
4049389503,complete disarmament,,5
729074467,complete emancipation,,5
252268188,complete equality,,5
2964069408,complete freedom,,5
2866131798,compulsory education,,5
681934006,compulsory education law,,5
331882898,compulsory education laws,,5
1685431283,compulsory examination,,5
2177648902,compulsory jury service,,5
1077088147,comradeship,,5
2759291739,concealed weapons,,4
4167678888,concord baptist church,,6
462201207,concurrent resolution,,5
1078796258,condemnation proceedings,,5
295742104,conductorless symphony orchestra,,5
1514333914,confectionery store,,4
3113500506,confederacy,,4
3683530921,conference program,,2
4027244552,conference report,,2
1300848553,congress campaign,,5
1640851557,congressional chairman,congressional chair-man,2
262896877,congressional program,,5
1925198534,congressman anthony,,4
4134308755,connecticut branch,,2
925122240,connecticut league,,2
612613942,connecticut state branch,,2
2261629601,consent,,5
2777819159,consequent neglect,,4
311264967,conservation program,,5
37260248,conservatism,,4
2625482978,conservative party,,1
2895034834,consolidated bank,,4
2517878519,constant incentive,,5
1583867908,constituent leagues,,2
2173922573,constitution,,5
744872286,constitutional amendment granting,,5
279041988,constitutional guarantees,,5
1024358355,constitutional right,,5
2046119973,consultative committee,,5
2996951311,consumees league,consumers league,99
842458301,consumer representation,,5
1855134427,consumers league bulletin,,2
2785783217,consumers league label,,5
149104547,consumers league work,,4
2120860540,consumers leagues,,1
1181331836,consumers leagues members,,2
1310428806,consumers power,,5
318354448,consumers research,,5
2452119738,consuming public,,5
1075693729,consummate skill,,5
3957159387,contagious disease,,4
462839151,contagious diseases,,4
1807107763,contagious diseases acts,,5
1152417173,contemporary conditions,,5
1250239005,continuation committee,,5
3558170453,continuation school,,5
840070131,continuation schools,,5
1769264277,contracting parties,,2
108567217,contribute money,,5
528159931,contributions checks,,4
2887005906,convention banning night work,,4
2338521346,convention finance committee,,2
388752984,convict labor,,4
162860420,convict lease system,,4
236205288,cookmaid,,3
4170453697,cooper union,,2
1588891146,cooperative commonwealth,co-operative commonwealth,5
3943241393,cooperative effort,co-operative effort,5
1257229503,cooperative home,co-operative home,5
2039644100,coöperative movement,,5
58657116,copelanddickstein bill,copeland-dick-stein bill,5
1462323357,corner bakeshop,,4
2157075793,corner grocer,,4
3541448618,correct evils,,5
1909001110,correspondence committee,,2
859900651,corresponding secretary,cor-responding secretary,2
3999625591,cosmopolitan society,,5
1662833594,cotton exhibit,,5
839856,cotton fields,,4
1853242274,cotton industry,,4
1512150879,cotton linters,,4
2898967448,cotton mills,,4
249429033,cotton textile institute,,4
338906519,cottontextile institute,cotton-textile institute,4
675393702,couldnt breath,,4
98365349,couldnt read,,5
2389983264,counteroffensive,,5
313642427,country church,,6
3223567521,country committee,,2
1990494427,country communities,,4
4183998348,country women,,3
598684848,countrys history,,5
2294040546,county charter,,5
144046526,county conventions,,5
3337783027,county recorder,,2
2152559552,county superintendent,county super-intendent,2
551599252,county superintendents,,2
2595446869,county training school,,5
1483548579,courageous women,,5
509578918,court action,,5
1820871514,court room,,5
3692037628,courtmartialed,court-mar-tialed,4
591906180,courts executive,,4
2561391244,cowlicks,,4
498870271,crafts exhibit,,5
2887018950,crazy jane,,5
2217244698,create monopolies,,4
3944761842,created equal,,5
1983939329,created free,,5
1407903370,creative life,,5
2430184363,credentials committee,,5
838514930,credit department,,2
1387972457,credit merchants,,4
2608631435,credit purchase,,5
4084619742,credit purchases,,5
2614303542,credit system,,5
3856298956,creole music,,5
2783628539,criminal courts,,5
718874741,criminal division,,5
3539594298,criminal element among negroes,,4
553941275,crowded city streets,,4
1064710874,cuban patriot,,3
98042649,cuban voters,,3
1973038861,cuban woman,,3
1181913610,cuban women,,3
1576127297,cultural atmosphere,,5
1483341862,cultural level,,5
4172335207,culture club,,5
2163599015,cultured persons,,5
2238597134,current knowledge,,5
4110923856,custody services,,5
21972310,customs commissioners,,5
125765391,customs district,,5
654973027,cut prices,,5
1040862810,cyclical depression,,4
1702356284,czechosiovakia women,czecho-siovakia women,3
4192102762,czechoslovak immigrants,czecho-slovak immigrants,3
3339772928,daily bread,,5
3725996192,daily capital,,5
1720935032,daily hours,,5
3136507405,daily oklahoman,,2
533200240,daily paper,,2
1939800910,daily papers,,2
1306944200,daily rounds,,4
2562725758,daily vacation bible school,,5
3411314310,dairy departments,,4
